Player,Opp.,Attempts,SOA%,Goals,Actual_Conversion_Rate,Estimated_Conversion_Rate,SO_Rating
Chris Kunitz,130,39,0.3,14,0.358974358974359,0.329679309842749,70.24425273409693
Ryan Potulny,14,5,0.35714285714285715,3,0.6,0.3295184187536401,70.19956076490001
Brian Gionta,116,64,0.5517241379310345,22,0.34375,0.32935643564356437,70.15456545654565
Brian Rolston,60,27,0.45,10,0.37037037037037035,0.32903428945835755,70.06508040509931
Tuomo Ruutu,76,24,0.3157894736842105,9,0.375,0.32887303436225973,70.02028732284992
Rickard Rakell,47,24,0.5106382978723404,9,0.375,0.32887303436225973,70.02028732284992
Jiri Hudler,72,55,0.7638888888888888,19,0.34545454545454546,0.3288726703552708,70.02018620979743
Peter Holland,39,15,0.38461538461538464,6,0.4,0.32838926907396626,69.88590807610173
Riley Nash,38,15,0.39473684210526316,6,0.4,0.32838926907396626,69.88590807610173
Robert Lang,42,15,0.35714285714285715,6,0.4,0.32838926907396626,69.88590807610173
Markus Granlund,31,15,0.4838709677419355,6,0.4,0.32838926907396626,69.88590807610173
Ryane Clowe,76,46,0.6052631578947368,16,0.34782608695652173,0.32838890506697727,69.88580696304923
J.T. Miller,47,12,0.2553191489361702,5,0.4166666666666667,0.3282280139778684,69.84111499385232
Nick Schmaltz,18,12,0.6666666666666666,5,0.4166666666666667,0.3282280139778684,69.84111499385232
Bill Guerin,49,12,0.24489795918367346,5,0.4166666666666667,0.3282280139778684,69.84111499385232
Jamie Lundmark,22,9,0.4090909090909091,4,0.4444444444444444,0.3280667588817705,69.79632191160292
Kevin Labanc,17,9,0.5294117647058824,4,0.4444444444444444,0.3280667588817705,69.79632191160292
Evgeni Malkin,99,68,0.6868686868686869,23,0.3382352941176471,0.32790477577169486,69.75132660324857
Brendan Shanahan,36,25,0.6944444444444444,9,0.36,0.32726011939429234,69.57225538730341
Doug Weight,45,22,0.4888888888888889,8,0.36363636363636365,0.3270988642981945,69.52746230505403
Todd Bertuzzi,74,50,0.6756756756756757,17,0.34,0.32693724519510775,69.48256810975215
Vaclav Prospal,74,16,0.21621621621621623,6,0.375,0.3267763541059988,69.43787614055522
Nikolai Zherdev,53,16,0.3018867924528302,6,0.375,0.3267763541059988,69.43787614055522
Gustav Nyquist,61,47,0.7704918032786885,16,0.3404255319148936,0.32677599009900987,69.43777502750274
Chris Terry,16,13,0.8125,5,0.38461538461538464,0.326615099009901,69.39308305830582
Jordan Weal,17,13,0.7647058823529411,5,0.38461538461538464,0.326615099009901,69.39308305830582
Tomas Kaberle,61,13,0.21311475409836064,5,0.38461538461538464,0.326615099009901,69.39308305830582
Rod Brind'Amour,34,10,0.29411764705882354,4,0.4,0.3264538439138031,69.3482899760564
Tony DeAngelo,19,7,0.3684210526315789,3,0.42857142857142855,0.3262925888177053,69.30349689380702
Jared McCann,23,7,0.30434782608695654,3,0.42857142857142855,0.3262925888177053,69.30349689380702
Corey Perry,127,100,0.7874015748031497,33,0.33,0.3262914967967385,69.30319355464958
Jakub Vrana,19,4,0.21052631578947367,2,0.5,0.32613133372160746,69.25870381155762
Max Comtois,6,4,0.6666666666666666,2,0.5,0.32613133372160746,69.25870381155762
Jake Guentzel,16,4,0.25,2,0.5,0.32613133372160746,69.25870381155762
Marek Svatos,47,35,0.7446808510638298,12,0.34285714285714286,0.32613096971461847,69.25860269850511
Nick Bjugstad,60,32,0.5333333333333333,11,0.34375,0.32596971461852065,69.21380961625573
Ales Hemsky,99,63,0.6363636363636364,21,0.3333333333333333,0.32596935061153176,69.21370850320326
Drew Stafford,106,60,0.5660377358490566,20,0.3333333333333333,0.3258080955154339,69.16891542095385
Nick Bonino,73,26,0.3561643835616438,9,0.34615384615384615,0.32564720442632494,69.12422345175692
Charlie Coyle,53,26,0.49056603773584906,9,0.34615384615384615,0.32564720442632494,69.12422345175692
Alexander Frolov,61,23,0.3770491803278688,8,0.34782608695652173,0.3254859493302271,69.07943036950752
Brendan Morrison,55,20,0.36363636363636365,7,0.35,0.32532469423412924,69.03463728725811
Maxim Afinogenov,41,17,0.4146341463414634,6,0.35294117647058826,0.3251634391380315,68.98984420500874
Ryan O'Reilly,82,45,0.5487804878048781,15,0.3333333333333333,0.32500182003494466,68.94495000970684
Adrian Kempe,16,11,0.6875,4,0.36363636363636365,0.3248409289458357,68.90025804050991
Vladimir Tarasenko,53,42,0.7924528301886793,14,0.3333333333333333,0.32484056493884683,68.90015692745745
Nolan Patrick,11,8,0.7272727272727273,3,0.375,0.3246796738497379,68.85546495826051
Mikko Rantanen,9,8,0.8888888888888888,3,0.375,0.3246796738497379,68.85546495826051
Todd White,38,8,0.21052631578947367,3,0.375,0.3246796738497379,68.85546495826051
Kyle Wilson,7,5,0.7142857142857143,2,0.4,0.32451841875364007,68.81067187601113
Reid Boucher,11,5,0.45454545454545453,2,0.4,0.32451841875364007,68.81067187601113
Sven Andrighetto,15,5,0.3333333333333333,2,0.4,0.32451841875364007,68.81067187601113
Charlie McAvoy,15,5,0.3333333333333333,2,0.4,0.32451841875364007,68.81067187601113
Kristian Huselius,50,36,0.72,12,0.3333333333333333,0.3245180547466511,68.81057076295862
Justin Williams,116,33,0.28448275862068967,11,0.3333333333333333,0.32435679965055325,68.76577768070922
Ryan Ellis,57,30,0.5263157894736842,10,0.3333333333333333,0.32419554455445543,68.72098459845984
Josh Bailey,111,30,0.2702702702702703,10,0.3333333333333333,0.32419554455445543,68.72098459845984
James Neal,103,55,0.5339805825242718,18,0.32727272727272727,0.3238726703552708,68.63129732090854
Mike Comrie,38,21,0.5526315789473685,7,0.3333333333333333,0.32371177926616185,68.58660535171161
Sam Reinhart,33,21,0.6363636363636364,7,0.3333333333333333,0.32371177926616185,68.58660535171161
Joe Sakic,25,21,0.84,7,0.3333333333333333,0.32371177926616185,68.58660535171161
Jonathan Drouin,27,21,0.7777777777777778,7,0.3333333333333333,0.32371177926616185,68.58660535171161
Jonathan Cheechoo,40,18,0.45,6,0.3333333333333333,0.323550524170064,68.54181226946223
Eric Fehr,80,18,0.225,6,0.3333333333333333,0.323550524170064,68.54181226946223
Mathew Barzal,22,18,0.8181818181818182,6,0.3333333333333333,0.323550524170064,68.54181226946223
Lee Stempniak,98,49,0.5,16,0.32653061224489793,0.32355016016307514,68.54171115640975
Tyler Ennis,66,49,0.7424242424242424,16,0.32653061224489793,0.32355016016307514,68.54171115640975
Jonathan Marchessault,30,15,0.5,5,0.3333333333333333,0.32338926907396626,68.49701918721284
Kyle Okposo,94,43,0.4574468085106383,14,0.32558139534883723,0.32322764997087944,68.45212499191095
Mikkel Boedker,49,43,0.8775510204081632,14,0.32558139534883723,0.32322764997087944,68.45212499191095
Jimmy Vesey,28,9,0.32142857142857145,3,0.3333333333333333,0.3230667588817705,68.40743302271402
Alex Tuch,14,9,0.6428571428571429,3,0.3333333333333333,0.3230667588817705,68.40743302271402
Nikita Kucherov,47,40,0.851063829787234,13,0.325,0.3230663948747816,68.40733190966155
Brendan Perlini,16,6,0.375,2,0.3333333333333333,0.3229055037856727,68.36263994046462
