Player,Team,Att.,Made,Miss,Pct.
Antti Niemi\niemian02,CHI,32,6,26,81.3
Dan Ellis\ellisda01,NSH,10,2,8,80.0
Peter Budaj\budajpe01,COL,5,1,4,80.0
Antero Niittymaki\niittan01,TBL,23,5,18,78.3
Ray Emery\emeryra01,PHI,9,2,7,77.8
Jaroslav Halak\halakja01,MTL,21,5,16,76.2
Johan Hedberg\hedbejo01,ATL,21,5,16,76.2
Pekka Rinne\rinnepe01,NSH,45,11,34,75.6
Manny Legace\legacma01,CAR,16,4,12,75.0
Evgeni Nabokov\nabokev01,SJS,50,13,37,74.0
Marc-Andre Fleury\fleurma01,PIT,23,6,17,73.9
Ilya Bryzgalov\bryzgil01,PHX,63,17,46,73.0
Semyon Varlamov\varlasi01,WSH,33,9,24,72.7
Tim Thomas\thomati01,BOS,33,9,24,72.7
Devan Dubnyk\dubnyde01,EDM,11,3,8,72.7
Marty Turco\turcoma01,DAL,53,15,38,71.7
Chris Mason\masonch02,STL,28,8,20,71.4
Jason LaBarbera\labarja01,PHX,28,8,20,71.4
Martin Brodeur\brodema01,NJD,31,9,22,71.0
Carey Price\priceca01,MTL,17,5,12,70.6
Jeff Deslauriers\drouije01,EDM,37,11,26,70.3
Tuukka Rask\rasktu01,BOS,33,10,23,69.7
Craig Anderson\andercr01,COL,52,16,36,69.2
Jimmy Howard\howarja02,DET,54,17,37,68.5
Henrik Lundqvist\lundqhe01,NYR,22,7,15,68.2
Jonathan Quick\quickjo01,LAK,51,17,34,66.7
Brian Elliott\elliobr01,OTT,21,7,14,66.7
Nikolai Khabibulin\khabini01,EDM,12,4,8,66.7
Cristobal Huet\huetcr01,CHI,38,13,25,65.8
Ryan Miller\millery01,BUF,31,11,20,64.5
Mike Smith\smithmi01,TBL,14,5,9,64.3
Roberto Luongo\luongro01,VAN,14,5,9,64.3
Niklas Backstrom\backsni01,MIN,38,14,24,63.2
Jonas Hiller\hillejo01,ANA,27,10,17,63.0
Rick DiPietro\dipieri01,NYI,8,3,5,62.5
Martin Biron\bironma01,NYI,8,3,5,62.5
Dwayne Roloson\rolosdw01,NYI,39,15,24,61.5
Patrick Lalime\lalimpa01,BUF,13,5,8,61.5
Tomas Vokoun\vokouto01,FLA,49,19,30,61.2
Curtis McElhinney\mcelhcu01,CGY,10,4,6,60.0
Chad Johnson\johnsch02,NYR,5,2,3,60.0
Steve Mason\masonst01,CBJ,28,12,16,57.1
Jonas Gustavsson\gustajo01,TOR,7,3,4,57.1
Jose Theodore\theodjo01,WSH,16,7,9,56.3
Erik Ersberg\ersbeer01,LAK,16,7,9,56.3
Mathieu Garon\garonma01,CBJ,18,8,10,55.6
Jean-Sebastien Giguere\gigueje01,ANA,16,8,8,50.0
Ty Conklin\conklty01,STL,10,5,5,50.0
Pascal Leclaire\leclapa01,OTT,10,5,5,50.0
Chris Osgood\osgooch01,DET,8,4,4,50.0
Vesa Toskala\toskave01,TOR,4,2,2,50.0
Cam Ward\wardca01,CAR,13,7,6,46.2
Ondrej Pavelec\pavelon01,ATL,11,6,5,45.5
Miikka Kiprusoff\kiprumi01,CGY,27,15,12,44.4
Andrew Raycroft\raycran01,VAN,9,5,4,44.4
Brian Boucher\bouchbr01,PHI,7,4,3,42.9
Yann Danis\danisya01,NJD,3,3,0,0.0
Jeff Deslauriers\drouije01,EDM,3,0,3,100.0
Johan Hedberg\hedbejo01,ATL,13,1,12,92.3
Mikael Tellqvist\tellqmi01,PHX,8,1,7,87.5
Andrew Raycroft\raycran01,COL,8,1,7,87.5
Jonas Hiller\hillejo01,ANA,31,5,26,83.9
Pekka Rinne\rinnepe01,NSH,24,5,19,79.2
Dwayne Roloson\rolosdw01,EDM,24,5,19,79.2
Miikka Kiprusoff\kiprumi01,CGY,14,3,11,78.6
Ryan Miller\millery01,BUF,40,9,31,77.5
Kari Lehtonen\lehtoka01,ATL,22,5,17,77.3
Niklas Backstrom\backsni01,MIN,21,5,16,76.2
Henrik Lundqvist\lundqhe01,NYR,40,10,30,75.0
Steve Valiquette\valiqst01,NYR,12,3,9,75.0
Scott Clemmensen\clemmsc01,NJD,12,3,9,75.0
Dany Sabourin\sabouda01,PIT,19,5,14,73.7
Marc-Andre Fleury\fleurma01,PIT,22,6,16,72.7
Jose Theodore\theodjo01,WSH,22,6,16,72.7
Curtis Joseph\josepcu01,TOR,11,3,8,72.7
Roberto Luongo\luongro01,VAN,29,8,21,72.4
Chris Osgood\osgooch01,DET,21,6,15,71.4
Jonathan Quick\quickjo01,LAK,14,4,10,71.4
Jaroslav Halak\halakja01,MTL,7,2,5,71.4
Steve Mason\masonst01,CBJ,31,9,22,71.0
Martin Biron\bironma01,PHI,17,5,12,70.6
Martin Brodeur\brodema01,NJD,10,3,7,70.0
Manny Legace\legacma01,STL,13,4,9,69.2
Ty Conklin\conklty01,DET,13,4,9,69.2
Tomas Vokoun\vokouto01,FLA,19,6,13,68.4
Tim Thomas\thomati01,BOS,28,9,19,67.9
Antero Niittymaki\niittan01,PHI,18,6,12,66.7
Jean-Sebastien Giguere\gigueje01,ANA,12,4,8,66.7
Kevin Weekes\weekeke01,NJD,6,2,4,66.7
Brian Boucher\bouchbr01,SJS,6,2,4,66.7
Mathieu Garon\garonma01,EDM,3,1,2,66.7
Evgeni Nabokov\nabokev01,SJS,31,11,20,64.5
Alex Auld\auldal01,OTT,25,9,16,64.0
Cam Ward\wardca01,CAR,19,7,12,63.2
Peter Budaj\budajpe01,COL,35,13,22,62.9
Carey Price\priceca01,MTL,35,13,22,62.9
Marty Turco\turcoma01,DAL,43,16,27,62.8
Brian Elliott\elliobr01,OTT,16,6,10,62.5
Karri Ramo\ramoka01,TBL,13,5,8,61.5
Chris Mason\masonch02,STL,18,7,11,61.1
Erik Ersberg\ersbeer01,LAK,20,8,12,60.0
Joey MacDonald\macdojo01,NYI,15,6,9,60.0
Patrick Lalime\lalimpa01,BUF,10,4,6,60.0
Cristobal Huet\huetcr01,CHI,12,5,7,58.3
Manny Fernandez\fernama01,BOS,9,4,5,55.6
Nikolai Khabibulin\khabini01,CHI,19,9,10,52.6
Vesa Toskala\toskave01,TOR,29,14,15,51.7
Ilya Bryzgalov\bryzgil01,PHX,20,10,10,50.0
Ben Bishop\bishobe01,STL,4,2,2,50.0
Brent Johnson\johnsbr02,WSH,2,1,1,50.0
Fredrik Norrena\norrefr01,CBJ,2,1,1,50.0
Josh Harding\hardijo01,MIN,2,1,1,50.0
Dan Ellis\ellisda01,NSH,11,6,5,45.5
Mike Smith\smithmi01,TBL,27,15,12,44.4
Yann Danis\danisya01,NYI,5,3,2,40.0
Michael Leighton\leighmi01,CAR,5,3,2,40.0
Craig Anderson\andercr01,FLA,11,7,4,36.4
Pascal Leclaire\leclapa01,CBJ,3,2,1,33.3
Jason LaBarbera\labarja01,LAK,16,11,5,31.3
Cory Schneider\schneco01,VAN,3,3,0,0.0
Matt Climie\climima01,DAL,2,2,0,0.0
Justin Pogge\poggeju01,TOR,2,2,0,0.0
