Player,Tm,Opp.,Att.,Made,Miss,Pct.
James Sheppard,N/A,56,3,0,3,0
Alex Goligoski,N/A,95,5,2,3,0.4
Tyler Kennedy,N/A,76,4,0,4,0
Oscar Lindberg,N/A,19,1,0,1,0
Mattias Janmark,N/A,19,1,0,1,0
Anthony Mantha,N/A,19,1,0,1,0
Stephane Robidas,N/A,98,5,1,4,0.2
Tommy Wingels,N/A,59,3,1,2,0.33
T.J. Brodie,N/A,59,3,0,3,0
Rob Klinkhammer,N/A,20,1,1,0,1
Devante Smith-Pelly,N/A,40,2,1,1,0.5
Antoine Roussel,N/A,40,2,1,1,0.5
Kurtis Foster,N/A,60,3,0,3,0
Derrick Pouliot,N/A,20,1,0,1,0
Ryan Hartman,N/A,20,1,0,1,0
Matt Carle,N/A,82,4,2,2,0.5
Chris Wideman,N/A,21,1,0,1,0
Logan Shaw,N/A,21,1,0,1,0
Patrick Wiercioch,N/A,43,2,0,2,0
P.K. Subban,N/A,88,4,0,4,0
Brad Winchester,N/A,45,2,1,1,0.5
Dylan Olsen,N/A,23,1,1,0,1
Bryan Bickell,N/A,69,3,1,2,0.33
Andre Burakovsky,N/A,23,1,0,1,0
Marcus Kruger,N/A,70,3,0,3,0
Jeff Halpern,N/A,71,3,1,2,0.33
Casey Cizikas,N/A,71,3,1,2,0.33
Shawn Matthias,N/A,71,3,0,3,0
Colin McDonald,N/A,24,1,1,0,1
Emerson Etem,N/A,24,1,1,0,1
Sami Salo,N/A,72,3,1,2,0.33
Chris Conner,N/A,24,1,0,1,0
Raphael Diaz,N/A,24,1,0,1,0
Jakob Chychrun,N/A,24,1,0,1,0
Pat Maroon,N/A,49,2,0,2,0
Justin Schultz,N/A,49,2,0,2,0
Vladimir Sobotka,N/A,74,3,0,3,0
Trevor Daley,N/A,124,5,1,4,0.2
Jake Virtanen,N/A,25,1,1,0,1
Rasmus Ristolainen,N/A,50,2,1,1,0.5
T.J. Galiardi,N/A,50,2,0,2,0
Will Butcher,N/A,25,1,0,1,0
Denis Malgin,N/A,25,1,0,1,0
Erik Johnson,N/A,76,3,0,3,0
Martin Marincin,N/A,26,1,1,0,1
Dustin Boyd,N/A,26,1,0,1,0
R.J. Umberger,N/A,104,4,0,4,0
Erik Condra,N/A,52,2,0,2,0
Connor Brown,N/A,26,1,0,1,0
Blake Comeau,N/A,79,3,1,2,0.33
Matt Niskanen,N/A,107,4,1,3,0.25
Jannik Hansen,N/A,81,3,0,3,0
Derek Grant,N/A,27,1,0,1,0
Zack Smith,N/A,81,3,0,3,0
Patrick Kaleta,N/A,55,2,0,2,0
Alex Killorn,N/A,55,2,0,2,0
Peter Regin,N/A,28,1,1,0,1
Matt Gilroy,N/A,28,1,0,1,0
John Carlson,N/A,85,3,1,2,0.33
Morgan Rielly,N/A,57,2,0,2,0
Thomas Hickey,N/A,58,2,1,1,0.5
Joel Ward,N/A,87,3,1,2,0.33
Kevin Connauton,N/A,29,1,0,1,0
Matt Dumba,N/A,29,1,0,1,0
Yannick Weber,N/A,59,2,1,1,0.5
Niklas Kronwall,N/A,118,4,1,3,0.25
Mike Matheson,N/A,30,1,1,0,1
Mattias Ohlund,N/A,60,2,1,1,0.5
Tim Schaller,N/A,30,1,0,1,0
Ben Hutton,N/A,30,1,0,1,0
Aaron Ekblad,N/A,60,2,0,2,0
Justin Abdelkader,N/A,91,3,1,2,0.33
Matt Beleskey,N/A,61,2,0,2,0
Andrei Loktionov,N/A,31,1,0,1,0
Jay Beagle,N/A,62,2,0,2,0
Anton Stralman,N/A,94,3,0,3,0
Pavel Kubina,N/A,63,2,0,2,0
Jiri Novotny,N/A,32,1,0,1,0
Kevin Bieksa,N/A,99,3,0,3,0
Jared Spurgeon,N/A,66,2,0,2,0
Andrew Cogliano,N/A,134,4,0,4,0
Maxime Talbot,N/A,102,3,1,2,0.33
Nick Leddy,N/A,102,3,1,2,0.33
Matt Bradley,N/A,68,2,0,2,0
Andrew Brunette,N/A,69,2,0,2,0
Jake Gardiner,N/A,70,2,0,2,0
Ivan Provorov,N/A,35,1,0,1,0
Lubomir Visnovsky,N/A,75,2,1,1,0.5
Jamie McBain,N/A,38,1,0,1,0
Tom Wandell,N/A,38,1,0,1,0
Josh Manson,N/A,38,1,0,1,0
Brett Connolly,N/A,38,1,0,1,0
Oscar Klefbom,N/A,38,1,0,1,0
Milan Lucic,N/A,115,3,0,3,0
Nate Schmidt,N/A,39,1,0,1,0
Kyle Brodziak,N/A,118,3,1,2,0.33
Jordan Leopold,N/A,79,2,1,1,0.5
Samuel Pahlsson,N/A,79,2,0,2,0
Joakim Nordstrom,N/A,40,1,0,1,0
Steve Bernier,N/A,81,2,1,1,0.5
Derek MacKenzie,N/A,81,2,1,1,0.5
Colin Greening,N/A,41,1,0,1,0
Toni Lydman,N/A,83,2,1,1,0.5
Jonathan Sim,N/A,42,1,0,1,0
Ryan Johnson,N/A,42,1,0,1,0
Chris Clark,N/A,43,1,1,0,1
Daymond Langkow,N/A,43,1,0,1,0
