Player,Tm,Att.,Made,Miss,Pct.
Auston Matthews\matthau01,TOR,2,1,1,50.0
Mark Scheifele\scheima01,WPG,2,1,1,50.0
Jordan Weal\wealjo01,PHI,2,1,1,50.0
Alex Tuch\tuchal01,VEG,2,1,1,50.0
Alex DeBrincat\debrial01,CHI,2,1,1,50.0
Jake Guentzel\guentja01,PIT,2,1,1,50.0
Sean Couturier\coutuse01,PHI,2,1,1,50.0
Erik Haula\haulaer01,VEG,2,1,1,50.0
Damon Severson\severda01,NJD,2,1,1,50.0
Mika Zibanejad\zibanmi01,NYR,11,5,6,45.5
Anze Kopitar\kopitan01,LAK,7,3,4,42.9
Casey Mittelstadt\mitteca01,BUF,5,2,3,40.0
Mats Zuccarello\zuccama01,NYR,5,2,3,40.0
Ryan O'Reilly\oreilry01,STL,5,2,3,40.0
T.J. Oshie\oshietj01,WSH,5,2,3,40.0
Vincent Trocheck\trochvi01,FLA,5,2,3,40.0
Markus Granlund\granlma01,VAN,8,3,5,37.5
Josh Bailey\bailejo01,NYI,9,3,6,33.3
Ryan Ellis\ellisry01,NSH,6,2,4,33.3
Nick Cousins\cousini01,ARI,6,2,4,33.3
Drew Stafford\staffdr01,NJD,6,2,4,33.3
Kyle Palmieri\palmiky01,NJD,6,2,4,33.3
Jimmy Vesey\veseyji02,NYR,3,1,2,33.3
Jason Pominville\pominja01,BUF,3,1,2,33.3
Brian Boyle\boylebr01,NJD,3,1,2,33.3
Shea Theodore\theodsh01,VEG,3,1,2,33.3
Troy Terry\terrytr01,ANA,3,1,2,33.3
Ryan Getzlaf\getzlry01,ANA,3,1,2,33.3
Alex Chiasson\chiasal01,EDM,3,1,2,33.3
Conor Sheary\shearco01,BUF,3,1,2,33.3
Tyler Seguin\seguity01,DAL,3,1,2,33.3
Josh Leivo\leivojo01,VAN,3,1,2,33.3
Tage Thompson\thompta01,BUF,3,1,2,33.3
Ryan Donato\donatry01,BOS,3,1,2,33.3
Sam Gagner\gagnesa01,EDM,3,1,2,33.3
Blake Coleman\colembl01,NJD,3,1,2,33.3
Phil Kessel\kesseph01,PIT,3,1,2,33.3
Brock McGinn\mcginbr01,CAR,3,1,2,33.3
Jamie Benn\bennja01,DAL,3,1,2,33.3
Elias Pettersson\petteel01,VAN,10,3,7,30.0
Aleksander Barkov\barkoal01,FLA,10,3,7,30.0
Filip Forsberg\forsbfi01,NSH,4,1,3,25.0
Leon Draisaitl\draisle01,EDM,4,1,3,25.0
Claude Giroux\giroucl01,PHI,4,1,3,25.0
Tanner Pearson\pearsta01,VAN,4,1,3,25.0
William Karlsson\karlswi01,VEG,4,1,3,25.0
Kevin Hayes\hayeske01,NYR,4,1,3,25.0
Jakub Voracek\voracja01,PHI,4,1,3,25.0
Rickard Rakell\rakelri01,ANA,4,1,3,25.0
Dylan Larkin\larkidy01,DET,4,1,3,25.0
Jason Zucker\zuckeja01,MIN,4,1,3,25.0
