Player,Attempts,Saves,Actual_Save_Rate,Estimated_Save_Rate,SO_Rating
Curtis Joseph\josepcu01,11,8,0.7272727272727273,0.682945205479452,83.96513545157997
Alex Stalock\staloal01,61,42,0.6885245901639344,0.6828538812785387,83.93774982294937
Keith Kinkaid\kinkake01,45,31,0.6888888888888889,0.6822831050228311,83.76658964400835
Andrew Raycroft\raycran01,23,16,0.6956521739130435,0.6821232876712329,83.71866479390484
Alex Auld\auldal01,48,33,0.6875,0.6820776255707763,83.70497197958957
Scott Darling\darlisc01,32,22,0.6875,0.6815068493150684,83.53381180064846
Michael Leighton\leighmi01,10,7,0.7,0.6813470319634704,83.485886950545
Andrew Hammond\hammoan01,38,26,0.6842105263157895,0.681095890410959,83.41057647181094
Kevin Poulin\poulike01,19,13,0.6842105263157895,0.680730593607306,83.30103395728867
Alexandar Georgiev\georgal01,22,15,0.6818181818181818,0.6805251141552511,83.23941629286983
Braden Holtby\holtbbr01,175,119,0.68,0.6800456621004567,83.09564174255937
Joey MacDonald\macdojo01,37,25,0.6756756756756757,0.6794977168949772,82.93132797077592
Curtis Sanford\sanfocu01,15,10,0.6666666666666666,0.6793378995433791,82.88340312067245
Craig Anderson\andercr01,215,146,0.6790697674418604,0.6790697674418604,82.80299764126289
Michal Neuvirth\neuvimi01,105,71,0.6761904761904762,0.6781735159817353,82.53423635563269
Peter Budaj\budajpe01,111,75,0.6756756756756757,0.6777625570776256,82.41100102679508
Rick DiPietro\dipieri01,20,13,0.65,0.6773287671232877,82.28091929079989
Chris Osgood\osgooch01,29,19,0.6551724137931034,0.6767123287671233,82.0960662975435
Michael Hutchinson\hutchmi01,29,19,0.6551724137931034,0.6767123287671233,82.0960662975435
Elvis Merzlikins\merzlel01,19,12,0.631578947368421,0.6757305936073059,81.80167078976487
Juuse Saros\sarosju01,50,33,0.66,0.6752739726027398,81.66474264661205
Mike Condon\condomi01,53,35,0.660377358490566,0.675068493150685,81.60312498219325
Karri Ramo\ramoka01,53,35,0.660377358490566,0.675068493150685,81.60312498219325
Pheonix Copley\copleph01,12,7,0.5833333333333334,0.6745433789954338,81.44565761756746
Darcy Kuemper\kuempda01,62,41,0.6612903225806451,0.6744520547945205,81.41827198893688
Mathieu Garon\garonma01,43,28,0.6511627906976745,0.6740867579908676,81.3087294744146
Anders Nilsson\nilssan01,43,28,0.6511627906976745,0.6740867579908676,81.3087294744146
Henrik Karlsson\karlshe01,11,6,0.5454545454545454,0.672945205479452,80.96640911653246
Marcus Hogberg\hogbema01,14,8,0.5714285714285714,0.6727397260273974,80.90479145211373
Philipp Grubauer\grubaph01,45,29,0.6444444444444445,0.6722831050228311,80.76786330896084
Patrick Lalime\lalimpa01,23,14,0.6086956521739131,0.6721232876712329,80.71993845885733
Dustin Tokarski\tokardu01,29,18,0.6206896551724138,0.6717123287671233,80.59670313001976
Martin Brodeur\brodema01,104,69,0.6634615384615384,0.6715753424657533,80.55562468707389
Marek Mazanec\mazanma01,10,5,0.5,0.6713470319634703,80.48716061549749
Tomas Vokoun\vokouto01,85,56,0.6588235294117647,0.6712100456621004,80.44608217255161
Curtis McElhinney\mcelhcu01,38,24,0.631578947368421,0.671095890410959,80.41185013676343
Anton Forsberg\forsban01,16,9,0.5625,0.6709360730593608,80.36392528665992
Martin Biron\bironma01,41,26,0.6341463414634146,0.6708904109589041,80.35023247234463
Brian Elliott\elliobr01,194,130,0.6701030927835051,0.6704109589041095,80.2064579220341
Cristobal Huet\huetcr01,50,32,0.64,0.6702739726027398,80.1653794790883
Pascal Leclaire\leclapa01,13,6,0.46153846153846156,0.6661415525114156,78.92617978355497
Marty Turco\turcoma01,109,71,0.6513761467889908,0.6645662100456622,78.45377768967762
Frederik Andersen\anderfr01,137,90,0.656934306569343,0.6643150684931507,78.37846721094354
Laurent Brossoit\brossla01,18,9,0.5,0.6641324200913242,78.3236959536824
Ray Emery\emeryra01,49,30,0.6122448979591837,0.663675799086758,78.18676781052955
Brian Boucher\bouchbr01,33,19,0.5757575757575758,0.6631050228310502,78.01560763158847
Erik Ersberg\ersbeer01,36,21,0.5833333333333334,0.6628995433789954,77.95398996716966
Carter Hutton\huttoca01,72,45,0.625,0.6604337899543379,77.21457799414426
Cam Ward\wardca01,165,108,0.6545454545454545,0.6590639269406392,76.80379356468569
Ty Conklin\conklty01,33,18,0.5454545454545454,0.6581050228310502,76.51624446406471
Scott Clemmensen\clemmsc01,83,52,0.6265060240963856,0.658013698630137,76.48885883543416
Devan Dubnyk\dubnyde01,170,111,0.6529411764705882,0.657054794520548,76.20130973481318
Steve Mason\masonst01,229,150,0.6550218340611353,0.6550218340611353,75.59168052803807
Justin Peters\peterju01,18,7,0.3888888888888889,0.6541324200913242,75.3249696186349
Vesa Toskala\toskave01,33,17,0.5151515151515151,0.6531050228310502,75.01688129654096
Antti Raanta\raantan01,48,27,0.5625,0.6520776255707763,74.70879297444705
Jose Theodore\theodjo01,94,58,0.6170212765957447,0.6505936073059361,74.26377650920026
Jonathan Bernier\bernijo01,128,81,0.6328125,0.6499315068493151,74.06523070162864
Al Montoya\montoal01,56,32,0.5714285714285714,0.6498630136986301,74.04469148015568
Nikolai Khabibulin\khabini01,71,42,0.5915492957746479,0.6488356164383562,73.73660315806178
Roberto Luongo\luongro01,290,188,0.6482758620689655,0.6482758620689655,73.5687481411968
Cam Talbot\talboca01,76,45,0.5921052631578947,0.6468264840182648,73.13411932818921
Cory Schneider\schneco01,151,96,0.6357615894039735,0.646689497716895,73.09304088524337
Miikka Kiprusoff\kiprumi01,129,81,0.627906976744186,0.6465296803652968,73.04511603513986
Ondrej Pavelec\pavelon01,166,106,0.6385542168674698,0.645662100456621,72.78495256314943
Jason LaBarbera\labarja01,68,38,0.5588235294117647,0.639041095890411,70.79949448743308
Jean-Sebastien Giguere\gigueje01,55,28,0.509090909090909,0.6332648401826484,69.06735347654946
Ilya Bryzgalov\bryzgil01,163,100,0.6134969325153374,0.6258675799086758,66.84911755747322
Niklas Backstrom\backsni01,135,80,0.5925925925925926,0.6211187214611873,65.42506486868356
Robin Lehner\lehnero01,99,51,0.5151515151515151,0.5985844748858448,58.6676610040902
Niklas Svedberg\svedbni01,9,8,0.8888888888888888,0.596765,58.122050278476166
Mike Smith\smithmi01,208,124,0.5961538461538461,0.5961538461538461,57.93878196515346
Mikael Tellqvist\tellqmi01,8,7,0.875,0.59468,57.49681583761876
Charlie Lindgren\lindgch01,7,6,0.8571428571428571,0.592595,56.87158139676136
